IP地址,端口号,TLS,数据中心,源IP位置,地区,城市,地区(中文),国家,城市(中文),国旗,网络延迟,出站IP,IP类型,访问协议,TLS版本,SNI,HTTP版本,WARP,Gateway,RBI,密钥交换,时间戳
52.19.138.237,8443,TRUE,DUB,IE,Europe,Dublin,欧洲,爱尔兰,都柏林,????,182 ms,52.19.138.237,IPv4,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519,1777368551
13.57.0.54,443,TRUE,SJC,US,North America,San Jose,北美洲,美国,圣何塞,????,195 ms,13.57.0.54,IPv4,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519,1777367568
184.169.181.217,443,TRUE,SJC,US,North America,San Jose,北美洲,美国,圣何塞,????,196 ms,184.169.181.217,IPv4,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519,1777365617
52.52.166.93,8443,TRUE,SJC,US,North America,San Jose,北美洲,美国,圣何塞,????,200 ms,52.52.166.93,IPv4,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519,1777368060
16.144.176.211,443,TRUE,PDX,US,North America,Portland,北美洲,美国,波特兰,????,200 ms,2600:1f14:295b:d100:ce3c:5c89:d66a:5953,IPv6,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519,1777367209
16.145.218.182,443,TRUE,PDX,US,North America,Portland,北美洲,美国,波特兰,????,201 ms,2600:1f14:1fb:fb00:5a9b:b2cd:603a:59af,IPv6,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519,1777367227
184.32.79.159,443,TRUE,PDX,US,North America,Portland,北美洲,美国,波特兰,????,202 ms,2600:1f14:2f5b:6700:74c9:d488:922e:ad7a,IPv6,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519,1777367191
44.228.254.176,443,TRUE,PDX,US,North America,Portland,北美洲,美国,波特兰,????,203 ms,2600:1f14:1624:1800:4ccd:1f84:d215:b50a,IPv6,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519,1777367182
54.183.223.218,443,TRUE,SJC,US,North America,San Jose,北美洲,美国,圣何塞,????,203 ms,2600:1f1c:642:5938:9a00:e18b:1a71:1206,IPv6,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519,1777367185
52.57.222.50,443,TRUE,FRA,DE,Europe,Frankfurt-am-Main,欧洲,德国,法兰克福,????,204 ms,52.57.222.50,IPv4,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519,1777367183
